CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D001_01,D002,D015,D014,D016,D017_01,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS12,PS11,PS11_05,PS11_01,PS11_02,PS11_03,PS11_04,PS10,PS09,PS08_01,PS07,PS06,PS05_01,PS04_01,PS03,PS02_01,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F001_02,F001_04,F001_05,F001_06,F001_07,F001_08,F002,F002_01,F002_02,F002_03,F002_04,F002_05,F002_06,F002_07,F002_08,F002_09,F002_10,F002_11,F002_12,F002_13,F006,F006_01,F006_02,F006_03,F006_04,F006_05,F006_06,F006_07,F006_08,F006_09,F006_10,F006_11,F006_12,F006_13,F006_14,F008_01,F008_02,F008_03,F008_04,F008_05,F009_01,F009_02,F009_03,F009_04,F009_05,F009_06,F009_07,F009_08,F009_09,F010,F011,F013,F012,F014,F014_02,F015,F016,F017,F018,F004_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP06_01,PP06_02,PP06_03,PP06_04,PP05_01,PP05_02,PP05_03,PP05_04,PP05_05,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,VP01_01,VP01_02,VP01_03,VP01_04,VP01_05,VP01_06,VP01_07,VP01_08,VP01_09,VP01_10,VP01_11,VP01_12,VP01_13,VP01_14,VP02_01,VP02_02,VP02_03,VP02_04,VP02_05,VP02_06,VP02_07,VP02_08,VP02_09,VP02_10,VP02_11,VP02_12,VP03_01,VP03_02,VP03_03,VP03_04,VP03_05,VP03_06,VP03_07,VP03_08,VP03_09,VP03_10,VP03_11,VP03_12,VP03_13,VP03_14,VP03_15,VP03_16,VP04_01,VP04_02,VP04_03,VP04_04,VP04_05,VP04_06,VP04_07,FP01_01,FP01_02,FP01_03,FP01_04,FP01_05,FP01_06,FP01_07,FP01_08,FP01_09,FP01_10,FP01_11,FP01_12,FP01_13,FP02_01,FP02_02,FP02_03,FP02_04,FP02_05,FP02_06,FP02_07,FP02_08,FP02_09,FP02_10,FP02_11,FP02_12,FP02_13,FP02_14,FP02_15,FP02_16,FP02_17,FP02_18,FP02_19,FP02_20,FP03_01,FP03_02,FP03_03,FP03_04,FP03_05,FP03_06,FP03_07,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,CV19_01,CV19_02,CV19_03,CV19_04,CV19_05,CV19_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV25_01,CV26_01,CV27_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME019,TIME020,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
546,,,base,interview,2021-03-03 07:55:37,35,männlich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,15,äußerst wichtig,äußerst wichtig,,,GS,GW,8,ja,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nein,schwieriger Lernbedingungen zu Hause,15.0,NMS,Oktober 2020,,,,,,trifft voll zu,3.0,trifft voll zu,3.0,3.0,2,3,3,2,0,5,6.0,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,3.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,teils/teils,teils/teils,trifft eher zu,trifft nicht zu,trifft eher zu,trifft zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft eher zu,trifft zu,teils/teils,teils/teils,teils/teils,weniger flexibel einteilen,weniger gut vereinbaren,weniger gelernt,weniger intensiv auseinandergesetzt,,,weniger aktiv eingebracht,größer,gleich,erschwert,"Es war, auch wenn wir in einer komplizierten Zeit leben, völlig unmöglich, in irgendeiner Art und Weise auch nur für ein Monat voraus zu planen. Das war auch psychisch sehr belastend",3.0,3.0,trifft voll zu,3.0,3.0,3.0,3.0,trifft voll zu,3.0,trifft gar nicht zu,trifft voll zu,3.0,3.0,trifft voll zu,3.0,3.0,3.0,trifft voll zu,trifft voll zu,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,sehr häufig,sehr häufig,sehr häufig,5.0,sehr häufig,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,trifft eher nicht zu,trifft eher nicht zu,trifft nicht zu,trifft eher nicht zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft nicht zu,trifft eher zu,teils/teils,trifft nicht zu,teils/teils,trifft nicht zu,"In Zukunft sollte auf die Belastungen, die gerade Studierende mit einem Beruf oder Betreuungspflichten haben, mehr eingegangen werden. Mit den strengen Abgabefristen werden einige bald ihr Studium frühzeitig abbrechen!","Ich finde es gut, dass endlich auch die Studierenden befragt werden",HFC05B,7.0,35.0,75.0,46.0,,36.0,90.0,55.0,133.0,46.0,52.0,91.0,39.0,24.0,24.0,27.0,62.0,,,174.0,70.0,1040.0,,2021-03-03 08:13:43,ausgefüllt,Teilnehmer,22.0,22.0,2.0,1.0,,22.0
552,,,base,interview,2021-03-03 11:56:46,1,divers/andere,alleine.,,nicht erwerbstätig.,,,,,BSP,BSP,BSP,1,nein,4.0,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nein,Betreuungspflichten,3.0,"BMHS (z. B. HTL, HAK, ...)",Februar 2021,,,,,,,trifft gar nicht zu,2.0,trifft voll zu,trifft voll zu,0,0,0,0,0,0,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,,,,,,,,,,,,,,weniger flexibel einteilen,weniger gut vereinbaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,13.0,18.0,34.0,,8.0,26.0,8.0,6.0,10.0,7.0,4.0,8.0,,,,,7.0,1.0,18.0,14.0,157.0,,2021-03-03 11:59:57,ausgefüllt,Teilnehmer,22.0,22.0,81.0,81.0,,280.0
554,,,base,interview,2021-03-03 13:37:03,23,männlich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,22.0,,,,,,,,,,,,,,,,,,,,38.0,,2021-03-03 13:37:41,abgebrochen,Teilnehmer,2.0,2.0,17.0,10.0,,9.0
555,,,base,interview,2021-03-03 13:37:15,25,männlich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,PH,MA,8,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,50.0,35.0,AHS,4,Februar 2021,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,20.0,39.0,,41.0,32.0,13.0,,,,,,,,,,,,,,,149.0,,2021-03-03 13:39:44,abgebrochen,Teilnehmer,7.0,7.0,12.0,3.0,,67.0
556,,,base,interview,2021-03-03 13:44:00,24,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,2,6.0,6.0,,,CH,MA,8,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,54.0,45.0,AHS,2,November 2020,3.0,trifft voll zu,3.0,3.0,3.0,2,81,018,,0,01,6.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,10.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft eher zu,trifft eher zu,trifft zu,trifft eher zu,trifft eher nicht zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft zu,teils/teils,trifft zu,teils/teils,,,,,Ähnliches gelernt,,,,,,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,trifft gar nicht zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,sehr häufig,2.0,2.0,nie,5.0,sehr häufig,5.0,sehr häufig,5.0,nie,5.0,sehr häufig,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,sehr häufig,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,nie,nie,nie,2.0,5.0,5.0,4.0,4.0,2.0,sehr häufig,2.0,nie,nie,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft zu,trifft nicht zu,trifft eher zu,trifft zu,trifft eher zu,trifft zu,teils/teils,trifft zu,teils/teils,teils/teils,,,ESS19B,6.0,33.0,43.0,,30.0,22.0,92.0,89.0,56.0,114.0,43.0,29.0,40.0,74.0,117.0,39.0,55.0,,,56.0,44.0,982.0,,2021-03-03 14:00:23,ausgefüllt,Teilnehmer,22.0,22.0,8.0,5.0,,13.0
557,,,base,interview,2021-03-03 14:02:04,24,männlich,alleine.,,während des ganzen Semesters erwerbstätig.,5,,,,,GW,PH,9,nein,2.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ja,,,,,22.0,20.0,AHS,1,Februar 2021,2.0,3.0,2.0,trifft voll zu,3.0,4,45,0,22,0,15,6.0,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,8.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft eher zu,trifft eher zu,teils/teils,trifft eher zu,trifft nicht zu,teils/teils,trifft eher nicht zu,teils/teils,teils/teils,teils/teils,teils/teils,,trifft eher nicht zu,,flexibler einteilen,,weniger gelernt,keine Änderung,Ähnliches gelernt,,keine Änderung,gleich,gleich,keine Änderung,Ich hatte keine Praxispartner. Außerdem waren meine beiden VPs sehr unterschiedlich... im GW Praktikum war die Betreuung durch Fr. Hebein signifikant besser als im Physik VP.,3.0,3.0,trifft voll zu,3.0,3.0,2.0,3.0,3.0,3.0,trifft gar nicht zu,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,32.0,42.0,,46.0,65.0,118.0,81.0,103.0,65.0,39.0,,,,,,,,,,,597.0,,2021-03-03 14:12:01,abgebrochen,Teilnehmer,11.0,11.0,9.0,6.0,,1.0
558,,,base,interview,2021-03-03 14:16:37,22,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,Sonstiges,EH,EN,8,ja,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,38.0,54.0,,,,,,,,,,,,,,,,,,,95.0,,2021-03-03 14:18:12,abgebrochen,Teilnehmer,3.0,3.0,13.0,5.0,,11.0
561,,,base,interview,2021-03-03 14:40:41,24,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,7,5.0,6.0,,,MA,CH,8,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,53.0,23.0,AHS,4,Februar 2021,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3,15,3,14,3,3,8.0,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,9.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft eher nicht zu,teils/teils,teils/teils,teils/teils,trifft eher zu,teils/teils,trifft eher nicht zu,trifft eher nicht zu,weniger flexibel einteilen,gleich gut vereinbaren,keine Änderung,intensiver auseinandergesetzt,Ähnliches gelernt,,aktiver eingebracht,größer,weniger gut,keine Änderung,,3.0,trifft voll zu,3.0,2.0,2.0,3.0,trifft voll zu,3.0,3.0,2.0,3.0,trifft gar nicht zu,3.0,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,sehr häufig,5.0,sehr häufig,2.0,4.0,4.0,5.0,sehr häufig,3.0,nie,sehr häufig,sehr häufig,4.0,2.0,3.0,sehr häufig,5.0,sehr häufig,sehr häufig,3.0,5.0,sehr häufig,2.0,nie,sehr häufig,sehr häufig,2.0,2.0,nie,5.0,sehr häufig,4.0,nie,sehr häufig,5.0,3.0,nie,nie,nie,nie,5.0,3.0,5.0,4.0,5.0,2.0,5.0,2.0,5.0,4.0,3.0,5.0,nie,5.0,sehr häufig,2.0,5.0,sehr häufig,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,sehr häufig,5.0,5.0,sehr häufig,sehr häufig,4.0,5.0,trifft voll zu,2.0,4.0,trifft voll zu,trifft eher zu,trifft eher nicht zu,trifft eher nicht zu,trifft zu,trifft zu,teils/teils,teils/teils,trifft eher nicht zu,trifft zu,trifft nicht zu,teils/teils,teils/teils,teils/teils,trifft zu,trifft eher zu,trifft zu,trifft eher nicht zu,teils/teils,,,HET27B,4.0,31.0,44.0,,29.0,19.0,144.0,63.0,48.0,110.0,38.0,29.0,44.0,62.0,67.0,53.0,94.0,,,63.0,33.0,975.0,,2021-03-03 14:56:56,ausgefüllt,Teilnehmer,22.0,22.0,3.0,0.0,,13.0
563,,,base,interview,2021-03-03 15:04:50,23,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,25,äußerst wichtig,6.0,,,GW,EN,7,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,50.0,25.0,NMS,4,Jänner 2021,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,28.0,31.0,,22.0,18.0,,,,,,,,,,,,,,,,114.0,,2021-03-03 15:06:44,abgebrochen,Teilnehmer,6.0,6.0,8.0,1.0,,22.0
564,,,base,interview,2021-03-03 15:34:20,22,weiblich,mit meinem*meiner Parnter*in.,,gelegentlich während des Semesters erwerbstätig.,3,äußerst wichtig,äußerst wichtig,,,ME,MA,6,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,58.0,26.0,AHS,2,Dezember 2020,3.0,2.0,trifft voll zu,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,31.0,34.0,,29.0,146.0,,,,,,,,,,,,,,,,247.0,,2021-03-03 15:38:28,abgebrochen,Teilnehmer,6.0,6.0,8.0,1.0,,8.0
568,,,base,interview,2021-03-03 18:16:00,23,weiblich,mit anderen Personen zusammen.,,während des ganzen Semesters erwerbstätig.,5,äußerst wichtig,6.0,,,CH,MA,8,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,50.0,15.0,AHS,4,Februar 2021,3.0,trifft voll zu,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4789.0,42.0,31.0,,26.0,31.0,,,,,,,,,,,,,,,,135.0,,2021-03-03 19:37:59,abgebrochen,Teilnehmer,6.0,6.0,8.0,1.0,,11.0
570,,,base,interview,2021-03-03 19:02:13,21,weiblich,alleine.,,nicht erwerbstätig.,,5.0,6.0,,,GW,BU,7,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,54.0,22.0,"BMHS (z. B. HTL, HAK, ...)",,Dezember 2020,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,,,,,,,7.0,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,6.0,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,trifft eher zu,teils/teils,trifft eher zu,teils/teils,trifft eher nicht zu,trifft eher nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu,trifft zu,teils/teils,trifft eher nicht zu,trifft eher nicht zu,trifft eher nicht zu,,,,,,,,,,,,2.0,3.0,3.0,trifft gar nicht zu,2.0,trifft voll zu,3.0,3.0,3.0,2.0,trifft voll zu,3.0,2.0,2.0,3.0,3.0,2.0,trifft voll zu,3.0,2.0,5.0,3.0,2.0,nie,4.0,2.0,4.0,4.0,5.0,5.0,5.0,sehr häufig,5.0,5.0,4.0,4.0,sehr häufig,5.0,5.0,4.0,sehr häufig,sehr häufig,4.0,3.0,sehr häufig,5.0,4.0,5.0,3.0,4.0,5.0,sehr häufig,4.0,sehr häufig,sehr häufig,sehr häufig,3.0,,5.0,3.0,3.0,3.0,2.0,nie,sehr häufig,3.0,4.0,5.0,5.0,5.0,sehr häufig,5.0,5.0,4.0,5.0,4.0,4.0,4.0,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,nie,3.0,2.0,4.0,2.0,3.0,trifft gar nicht zu,4.0,5.0,5.0,trifft eher zu,teils/teils,trifft eher nicht zu,teils/teils,trifft eher zu,trifft eher nicht zu,trifft eher nicht zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft zu,teils/teils,teils/teils,trifft zu,teils/teils,trifft zu,trifft eher nicht zu,trifft nicht zu,,,MHV7B,6.0,26.0,46.0,,34.0,27.0,44.0,60.0,69.0,20.0,51.0,43.0,48.0,57.0,73.0,44.0,89.0,,,89.0,52.0,878.0,,2021-03-03 19:16:51,ausgefüllt,Teilnehmer,22.0,22.0,14.0,9.0,,17.0
572,,,base,interview,2021-03-03 21:28:37,25,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,10,äußerst wichtig,5.0,,,PH,MA,7,nein,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,52.0,21.0,NMS,2,Jänner 2021,3.0,3.0,3.0,trifft voll zu,trifft voll zu,1,12,012,8,0,,3.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,4.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,trifft eher nicht zu,teils/teils,trifft eher zu,trifft zu,trifft eher nicht zu,trifft eher zu,trifft nicht zu,trifft eher zu,teils/teils,trifft eher nicht zu,trifft eher nicht zu,trifft eher zu,trifft nicht zu,trifft nicht zu,flexibler einteilen,gleich gut vereinbaren,mehr gelernt,intensiver auseinandergesetzt,Ähnliches gelernt,,keine Änderung,größer,weniger gut,keine Änderung,,3.0,2.0,2.0,3.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,trifft voll zu,3.0,2.0,2.0,3.0,trifft gar nicht zu,2.0,trifft voll zu,trifft gar nicht zu,3.0,trifft gar nicht zu,sehr häufig,sehr häufig,5.0,2.0,nie,5.0,5.0,5.0,nie,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,2.0,sehr häufig,2.0,4.0,nie,4.0,5.0,nie,nie,nie,nie,4.0,4.0,4.0,2.0,sehr häufig,2.0,2.0,nie,nie,sehr häufig,5.0,sehr häufig,4.0,4.0,nie,sehr häufig,sehr häufig,3.0,5.0,2.0,2.0,sehr häufig,sehr häufig,5.0,2.0,4.0,nie,2.0,3.0,nie,nie,2.0,nie,4.0,4.0,2.0,4.0,3.0,4.0,trifft eher zu,trifft nicht zu,trifft nicht zu,trifft eher nicht zu,teils/teils,trifft eher zu,trifft zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,teils/teils,,,MHJB,4.0,27.0,61.0,,44.0,40.0,109.0,91.0,55.0,83.0,55.0,44.0,125.0,,,,,170.0,78.0,79.0,36.0,1101.0,,2021-03-03 21:46:58,ausgefüllt,Teilnehmer,22.0,22.0,4.0,1.0,,3.0
575,,,base,interview,2021-03-03 21:36:48,21,männlich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,5-8,äußerst wichtig,äußerst wichtig,5.0,CH,MA,BU,6,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,30.0,AHS,2,Dezember 2020,2.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,1,02,0,3,,51,4.0,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,7.0,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,38.0,46.0,,68.0,27.0,87.0,51.0,38.0,,,,,,,,,,,,,358.0,,2021-03-03 21:42:46,abgebrochen,Teilnehmer,9.0,9.0,4.0,2.0,,15.0
